indicator_orig,indic_id,indicator_harmonized
life satisfaction,IPBES_VA_3_41_70_49,life satisfaction
 happiness,IPBES_VA_3_41_70_50,happiness
number of photos taken by the public in an advert to indicate aesthetic values,IPBES_VA_3_48_73_51,number of photos taken by the public in an advert to indicate aesthetic values
 photo series analysis using social media,IPBES_VA_3_48_73_52,photo series analysis using social media
 number of wildlife pictures posted on a photo-sharing website,IPBES_VA_3_48_73_53,number of wildlife pictures posted on a photo-sharing website
Global index on indigenous peoples' well-being,IPBES_VA_3_63_79_54,global index on indigenous peoples' well-being
 holistic health model,IPBES_VA_3_63_79_55,holistic health model
 living conditions in the Arctic,IPBES_VA_3_63_79_56,living conditions in the arctic
willingness to give up access to land or other resources to protect nature,IPBES_VA_3_76_86_57,willingness to give up access to land or other resources to protect nature
 willingness to pay to protect nature or improve ecosystem services,IPBES_VA_3_76_86_58,willingness to pay to protect nature or improve ecosystem services
 costs associated with protecting nature and biodiversity,IPBES_VA_3_76_86_59,costs associated with protecting nature and biodiversity
 costs associated with maintaining NCPs of past or future projects,IPBES_VA_3_76_86_60,costs associated with maintaining ncps of past or future projects
social welfare function (SWF),IPBES_VA_3_96_97_61,social welfare function (swf)
Inclusive Wealth,IPBES_VA_3_114_99_62,inclusive wealth
"The number of countries implementing natural resource accounts, excluding energy, within the system of environmental economic accounting",IPBES_VA_4_28_108_63,"number of countries implementing natural resource accounts, excluding energy, within the system of environmental economic accounting"
biodiversity in poverty reduction strategies,IPBES_VA_4_28_109_64,biodiversity in poverty reduction strategies
 biophysical inventories of biodiversity and ecosystem services,IPBES_VA_4_28_109_65,biophysical inventories of biodiversity and ecosystem services
 companies with policies for biodiversity-friendly practices,IPBES_VA_4_28_109_66,companies with policies for biodiversity-friendly practices
 national accounts reflecting state of biodiversity and ecosystem services,IPBES_VA_4_28_109_67,national accounts reflecting state of biodiversity and ecosystem services
number of countries implementing the system of environmental economic accounting,IPBES_VA_4_73_122_68,number of countries implementing the system of environmental economic accounting
