error,indicator_harmonized,indic_ids,sources,policy,Categories,Subcategories,Categories_2,Subcategories_2
,proportion of population satisfied with their last experience of public services,SDG_G16.6.2_227,SDG,1,Knowledge systems,Information on society and socio-economics,NA,NA
,"proportion of population subjected to (a) physical violence, (b) psychological violence and/or (c) sexual violence in the previous 12 months",SDG_G16.1.3_214,SDG,1,Knowledge systems,Information on society and socio-economics,Governance,Broken governance
,proportion of population that feel safe walking alone around the area they live after dark,SDG_G16.1.4_215,SDG,1,Human well-being,Equity,Knowledge systems,Information on society and socio-economics
,"proportion of population that has convenient access to public transport, by sex, age and persons with disabilities",SDG_G11.2.1_144,SDG,1,Human assets,Infrastructure (build-up area),NA,Coverage of basic needs
,proportion of population using (a) safely managed sanitation services and (b) a hand-washing facility with soap and water,SDG_G6.2.1_84,SDG,1,Human well-being,Healthy living conditions,Human assets,Coverage of basic needs
,proportion of population using safely managed drinking water services,GBF_T11_CY_201;SDG_G6.1.1_83;GEO_16_14_181;GEO_16_16_185;IPBES_SUA_sup_6.1.1_30,GBF;SDG;IPBES;GEO,1,Human well-being,Healthy living conditions,Human assets,Coverage of basic needs
,proportion of population using safely managed sanitation services,GEO_16_14_181;GEO_16_17_187,GEO,0,Human well-being,Healthy living conditions,NA,NA
,"proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group",GBF_T22_CY_263;SDG_G16.7.2_229,GBF;SDG,1,Human well-being,Equity,NA,Wellness
,proportion of population with access to electricity,SDG_G7.1.1_94,SDG,1,Human assets,Coverage of basic needs,NA,Information on society and socio-economics
,proportion of population with large household expenditures on health as a share of total household expenditure or income,SDG_G3.8.2_45,SDG,1,Human assets,Coverage of basic needs,NA,Information on society and socio-economics
,proportion of population with primary reliance on clean fuels and technology,SDG_G7.1.2_95;IPBES_SUA_sup_7.1.2_39,SDG;IPBES,1,Human assets,Infrastructure (build-up area),NA,Information on society and socio-economics
,proportion of populations maintained within species,GBF_GA_CY_53,GBF,1,biodiversity,State of biodiversity,NA,NA
,proportion of populations within species with an effective population size > 500,GBF_GA_H_4;GBF_T4_H_20,GBF,1,biodiversity,State of biodiversity,NA,NA
,proportion of predatory fish,GA_1_52_19,IPBES,0,biodiversity,State of biodiversity,NA,NA
,"proportion of schools offering basic services, by type of service",SDG_G4.a.1_65,SDG,1,Human assets,Coverage of basic needs,NA,NA
,proportion of seats held by women in (a) national parliaments and (b) local governments,GBF_T23_C_69;SDG_G5.5.1_74,GBF;SDG,1,Human well-being,Equity,NA,NA
,"proportion of seized, found or surrendered arms whose illicit origin or context has been traced or established by a competent authority in line with international instruments",SDG_G16.4.2_223,SDG,1,Governance,Legislation/governance,NA,NA
,proportion of sites in the world database on protected areas reporting shared governance,GA_3_38_364,IPBES,0,Knowledge systems,Information on biodiversity,Knowledge systems,Information on society and socio-economics
,proportion of small-scale industries in total industry value added,SDG_G9.3.1_121;IPBES_SUA_sup_9.3.1_63,SDG;IPBES,1,Human assets,Infrastructure (build-up area),NA,NA
,proportion of small-scale industries with a loan or line of credit,SDG_G9.3.2_122;IPBES_SUA_sup_9.3.2_64,SDG;IPBES,1,Human assets,Infrastructure (build-up area),NA,Income
,proportion of tariff lines applied to imports from least developed countries and developing countries with zero-tariff,SDG_G10.a.1_140,SDG,1,Governance,Legislation/governance,NA,NA
,"proportion of teachers with the minimum required qualifications, by education level",SDG_G4.c.1_67,SDG,1,Knowledge systems,Information on society and socio-economics,NA,NA
,proportion of terrestrial protected area as a share of the total land area,GEO_15_17_161;GEO_15_19_166;GEO_15_19_167;GEO_15_19_168,GEO,0,ecosystems,Area conservation,NA,NA
,"proportion of terrestrial, freshwater and marine ecological regions which are conserved by protected areas or other effective area-based conservation measures",GBF_T3_CY_146;GBF_T5_CY_163,GBF,1,ecosystems,Area conservation,NA,NA
,proportion of the global population using piped water supplies on premises,GEO_16_16_185,GEO,0,Human well-being,Healthy living conditions,NA,NA
,"proportion of the population living below the international poverty line by sex, age, employment status and geographic location (urban/rural)",SDG_G1.1.1_1;IPBES_SUA_sup_1.1.1_1,SDG;IPBES,1,Knowledge systems,Information on society and socio-economics,NA,State of economy
,"proportion of the population who are refugees, by country of origin",SDG_G10.7.4_139;IPBES_SUA_sup_10.7.4_77,SDG;IPBES,1,Knowledge systems,Information on society and socio-economics,NA,NA
,"proportion of the population who have experienced a dispute in the past two years and who accessed a formal or informal dispute resolution mechanism, by type of mechanism",SDG_G16.3.3_221,SDG,1,Knowledge systems,Information on society and socio-economics,Governance,Legislation/governance
,proportion of the rural population who live within 2 km of an all-season road,SDG_G9.1.1_117;GA_3_128_421;IPBES_SUA_sup_9.1.1_59,SDG;IPBES,1,Human assets,Infrastructure (build-up area),NA,NA
,proportion of the target population covered by all vaccines included in their national programme,SDG_G3.b.1_50,SDG,1,Human assets,Coverage of basic needs,Direct drivers,(Infectious) diseases
,"proportion of time spent on unpaid domestic and care work, by sex, age and location",SDG_G5.4.1_73,SDG,1,Human assets,Income,NA,NA
,"proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation, and (b) who perceive their rights to land as secure, by sex and type of tenure",GBF_T22_C_68;GBF_T23_C_71;SDG_G1.4.2_6;IPBES_SUA_sup_1.4.2_5,GBF;SDG;IPBES,1,Human well-being,Equity,NA,NA
,"proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",GBF_T22_CY_257;GBF_T23_CY_265;SDG_G5.a.1.a_78;IPBES_SUA_sup_5.a.1.a_26,GBF;SDG;IPBES,1,Human well-being,Equity,NA,NA
,"proportion of total government spending on essential services (education, health and social protection)",SDG_G1.a.2_12,SDG,1,Governance,Legislation/governance,NA,NA
,proportion of total research budget allocated to research in the field of marine technology,GBF_GD_CY_101;GBF_T19_CY_243;SDG_G14.a.1_191;IPBES_SUA_sup_14.a.1_118,GBF;SDG;IPBES,1,Knowledge systems,Information on society and socio-economics,NA,NA
,proportion of traded wildlife that was poached or illicitly trafficked,SDG_G15.7.1_203;SDG_G15.c.1_211;IPBES_SUA_sup_15.7.1_129;IPBES_SUA_sup_15.c.1_137,SDG;IPBES,1,Direct drivers,Specific mention of over-exploitation and unsustainable use of species/ecosystems,NA,NA
,proportion of transboundary basin area with an operational arrangement for water cooperation,GBF_T1_CY_110;SDG_G6.5.2_90;IPBES_SUA_sup_6.5.2_35,GBF;SDG;IPBES,1,Ecosystem services,Nature contribution,NA,NA
,proportion of unpalatable plants on rangelands,GA_2.2_65_113,IPBES,0,ecosystems,State of ecosystems (configuration),NA,NA
,proportion of urban area,IAS_2_5_11,IPBES,0,Human assets,Infrastructure (build-up area),NA,NA
,proportion of urban population,GA_2_24_29,IPBES,0,Knowledge systems,Information on society and socio-economics,NA,NA
,"proportion of urban population living in slums, informal settlements or inadequate housing",SDG_G11.1.1_143,SDG,1,Human assets,Coverage of basic needs,Governance,Broken governance
,"proportion of victims of (a) physical, (b) psychological and/or (c) sexual violence in the previous 12 months who reported their victimization to competent authorities or other officially recognized conflict resolution mechanisms",SDG_G16.3.1_219,SDG,1,Human assets,Coverage of basic needs,Governance,Broken governance
,"proportion of women aged 15-49 years who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care",SDG_G5.6.1_76,SDG,1,Human well-being,Equity,Governance,Broken governance
,proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18,SDG_G5.3.1_71,SDG,1,Human well-being,Equity,Governance,Broken governance
,"proportion of women and girls aged 15 years and older subjected to sexual violence by persons other than an intimate partner in the previous 12 months, by age and place of occurrence",SDG_G5.2.1_69;SDG_G5.2.2_70,SDG,1,Human well-being,Equity,Governance,Broken governance
,proportion of women in managerial positions,SDG_G5.5.2_75,SDG,1,Knowledge systems,Information on society and socio-economics,Governance,Broken governance
,proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,SDG_G3.7.1_42,SDG,1,Human assets,Coverage of basic needs,Governance,Broken governance
,proportion of young women and men aged 18-29 years who experienced sexual violence by age 18,SDG_G16.2.3_218,SDG,1,Knowledge systems,Information on society and socio-economics,Governance,Broken governance
,"proportion of youth (aged 15-24 years) not in education, employment or training",SDG_G8.6.1_107;IPBES_SUA_sup_8.6.1_51,SDG;IPBES,1,Human assets,Coverage of basic needs,NA,NA
,"proportion of youth and adults with information and communications technology (ict) skills, by type of skill",SDG_G4.4.1_61,SDG,1,Knowledge systems,Information on society and socio-economics,Human assets,Coverage of basic needs
,"proportions of positions in national and local institutions, including (a) the legislatures; (b) the public service; and (c) the judiciary, compared to national distributions, by sex, age, persons with disabilities and population groups",SDG_G16.7.1_228,SDG,1,Human well-being,Equity,NA,NA
,prospective inclusion of other native taxa and threatened habitats,IAS_6_21_146,IPBES,0,Knowledge systems,Information on biodiversity,NA,NA
,protected area and oecm management effectiveness (mepca) indicator,GBF_T3_CY_135,GBF,1,ecosystems,Area conservation,Governance,Nature-based legislation
,protected area connectedness (parc-connectedness) index,GBF_GA_C_6;GBF_T3_C_20;GA_1_52_19,GBF;IPBES,1,ecosystems,State of ecosystems (configuration),NA,NA
,protected area coverage,GA_1_52_19,IPBES,0,ecosystems,Area conservation,NA,NA
,"protected area coverage of bird, mammal and amphibian distributions",IPBES_GA3_sup_46,IPBES,0,ecosystems,Area conservation,biodiversity,State of biodiversity
,protected area coverage of important sites for mountain biodiversity,SDG_G15.4.1_198;IPBES_SUA_sup_15.4.1_125,SDG;IPBES,1,ecosystems,Area conservation,biodiversity,State of biodiversity
,protected area coverage of important sites for terrestrial and freshwater biodiversity,SDG_G15.1.2_195;IPBES_SUA_sup_15.1.2_122,SDG;IPBES,1,ecosystems,Area conservation,NA,NA
,protected area coverage of key biodiversity areas,GBF_T3_C_17;GA_1_52_19;GA_3_55_389;GA_3_72_395;IPBES_GA3_sup_43,GBF;IPBES,1,ecosystems,Area conservation,biodiversity,State of biodiversity
,protected area coverage of marine and coastal areas,SDG_G14.5.1_188;GA_3_72_395;IPBES_GA3_sup_41;IPBES_SUA_sup_14.5.1_115,SDG;IPBES,1,ecosystems,Area conservation,ecosystems,State of ecosystems (marine)
,"protected area coverage of terrestrial, marine and freshwater ecoregions",GA_1_52_19,IPBES,0,ecosystems,Area conservation,NA,NA
,"protected area downgrading, downsizing and degazettement (pd)",GBF_T3_CY_131,GBF,1,ecosystems,Change in ecosystems,NA,NA
,protected area isolation index (pai),GBF_T3_CY_136,GBF,1,ecosystems,State of ecosystems (coverage),NA,NA
,protected area management effectiveness (pame),GBF_T3_C_18;GA_1_52_19,GBF;IPBES,1,ecosystems,Area conservation,Governance,Nature-based legislation
,protected area representativeness index,GA_1_52_19,IPBES,0,ecosystems,Area conservation,Governance,Nature-based legislation
,protected areas network metric (pronet),GBF_T3_CY_137,GBF,1,ecosystems,Area conservation,NA,NA
,protected connected (protconn) index,GBF_GA_C_5;GBF_T3_C_19,GBF,1,ecosystems,Area conservation,ecosystems,State of ecosystems (configuration)
,protection of key biodiversity areas,GA_2_24_29,IPBES,0,ecosystems,Area conservation,NA,NA
,protein intake per country per person,IPBES_GA2.1_sup_17,IPBES,0,Knowledge systems,Information on society and socio-economics,NA,NA
,"provision of safe, reliable drinking water",GEO_9_18_80,GEO,0,Human well-being,Healthy living conditions,NA,NA
,proximity of people and nature,GA_2.3_42_143,IPBES,0,Knowledge systems,Specific information on human-nature relationship,NA,NA
,quality and abundance of food and medicine species,SUA_2_95_77;SUA_2_96_79,IPBES,0,Knowledge systems,ILK,biodiversity,State of biodiversity
,quality of governance index,SUA_4_61_118,IPBES,0,Governance,Legislation/governance,NA,NA
,quantity of land area known to have (in)sufficient infrastructure against flooding,GEO_17_8_200,GEO,0,Human assets,Infrastructure (build-up area),NA,NA
,radiative forcing,IPCC_7_91_360,IPCC,0,Direct drivers,Climate change,NA,NA
,radio occultation,IPCC_2_42_69,IPCC,0,Direct drivers,Climate change,NA,NA
,rainfall,IPCC_8_42_382,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,rainfall variability,IPCC_8_77_414,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,ramsar management effectiveness tracking tool (r-mett),GBF_T3_CY_140,GBF,1,ecosystems,Area conservation,NA,NA
,ramsar sites,GA_1_52_19;IPBES_GA2.1_sup_59,IPBES,0,ecosystems,Area conservation,NA,NA
,range contractions,GA_2.3_75_161,IPBES,0,biodiversity,Change in biodiversity,NA,NA
,range-size rarity,GA_2.2_21_61,IPBES,0,biodiversity,State of biodiversity,NA,NA
,rate of invasive alien species establishment,GBF_T6_H_22;GBF_T4_CY_153;IAS_6_119_173,GBF;IPBES,1,Direct drivers,Invasive alien species,NA,NA
,rate of invasive alien species spread,GBF_T6_C_34,GBF,1,Direct drivers,Invasive alien species,NA,NA
,rate of invasive species impact and rate of impact,GBF_T6_C_33,GBF,1,Direct drivers,Invasive alien species,NA,NA
,rate of land use change,GA_2.3_39_137,IPBES,0,Direct drivers,Land conversion,ecosystems,Change in ecosystems
,rate of rslr (relative sea level rise),IPCC_12_20_605,IPCC,0,ecosystems,Abiotic conditions,ecosystems,State of ecosystems
,rate of species accumulation,IAS_2_15_20,IPBES,0,biodiversity,Change in biodiversity,NA,NA
,rate of use of pesticides,VA_3_26_59,IPBES,0,Direct drivers,Pollution,NA,NA
,rate of wood removal,VA_3_26_59,IPBES,0,Ecosystem services,Nature contribution,NA,NA
,ratio of land consumption rate to population growth rate,SDG_G11.3.1_145;GEO_15_17_161;GEO_15_20_171;IPBES_SUA_sup_11.3.1_79,SDG;IPBES;GEO,1,Ecosystem services,Nature contribution,Human assets,Coverage of basic needs
,ratio of land consumption rate to urban population growth rate at comparable scale,GEO_15_21_173,GEO,0,Direct drivers,Land conversion,NA,NA
,recognition and value of forest-management knowledge and skills of local people,SUA_2_92_69,IPBES,0,Knowledge systems,ILK,NA,NA
,recommended intake values for the food groups,GEO_17_12_206,GEO,0,Human well-being,Healthy living conditions,NA,NA
,recreation and cultural ecosystem services provided,GBF_T12_C_54,GBF,1,Human well-being,Recreation,NA,NA
,recruitment cost borne by employee as a proportion of monthly income earned in country of destination,SDG_G10.7.1_136,SDG,1,Human assets,State of economy,NA,Income
,recycling rate,GBF_T16_CY_217,GBF,1,Knowledge systems,Specific information on human-nature relationship,NA,NA
,red list index,GBF_GA_H_3;GBF_T4_H_19;GBF_T2_CY_127;SDG_G15.5.1_201;GA_1_52_19;GA_2.2_37_70;GA_2.2_51_92;GA_2.2_70_120;GA_4_30_175;GA_3_40_368;GA_3_45_374;GA_3_150_436;SUA_1_1_1;SUA_1_22_10;SUA_4_70_126;SUA_4_71_127;IAS_2_48_40;IAS_4_22_102;IAS_5_52_127;GEO_6_15_50;GEO_6_16_54;IPBES_GA2.2_sup_59;IPBES_GA3_sup_50;IPBES_SUA_sup_15.5.1_127,GBF;SDG;IPBES;GEO,1,biodiversity,State of biodiversity,NA,NA
,red list index (birds and mammals),GA_3_51_382,IPBES,0,biodiversity,State of biodiversity,NA,NA
,red list index (for utilized species),GBF_GB_C_10;GBF_T5_C_30;GBF_T9_C_45;GA_2.2_51_92;GA_3_15_329;GEO_13_18_136;IPBES_GA2.2_sup_63;IPBES_GA3_sup_11;IPBES_GA3_sup_56,GBF;IPBES;GEO,1,biodiversity,State of biodiversity,Ecosystem services,Nature contribution
,red list index (forest specialists),GA_3_15_329;IPBES_GA2.2_sup_60;IPBES_GA3_sup_19,IPBES,0,biodiversity,State of biodiversity,NA,NA
,red list index (impacts of fisheries),GA_3_15_329;IPBES_GA3_sup_23,IPBES,0,biodiversity,State of biodiversity,Ecosystem services,Nature contribution
,red list index (impacts of invasive alien species),GBF_T6_CY_169;GA_3_72_395;IPBES_GA3_sup_34,GBF;IPBES,1,biodiversity,State of biodiversity,Direct drivers,Invasive alien species
,red list index (impacts of pollution),GBF_T7_C_39;GA_3_72_395;IPBES_GA3_sup_30,GBF;IPBES,1,biodiversity,State of biodiversity,Direct drivers,Pollution
,red list index (internationally traded birds),IPBES_GA2.2_sup_61,IPBES,0,biodiversity,State of biodiversity,Ecosystem services,Nature contribution
,red list index (internationally traded species and migratory species),GBF_T5_CY_155,GBF,1,biodiversity,State of biodiversity,NA,NA
,red list index (internationally traded species),GBF_GB_CY_89;GA_2.2_51_92;GA_3_15_329;IPBES_GA3_sup_12,GBF;IPBES,1,biodiversity,State of biodiversity,Ecosystem services,Nature contribution
,red list index (migratory species),CMS_G3.8_12,CMS,1,biodiversity,State of biodiversity,Knowledge systems,Information on biodiversity
,red list index (pollinators),GBF_GB_CY_59;GBF_T10_CY_196;GA_2.2_51_92;IPBES_GA2.2_sup_62;IPBES_GA3_sup_57,GBF;IPBES,1,biodiversity,State of biodiversity,Ecosystem services,Nature contribution
,red list index (vertebrate pollinators),GA_3_45_374,IPBES,0,biodiversity,State of biodiversity,NA,NA
,red list index (wild relatives of farmed and domesticated species),GBF_GA_CY_48;GBF_T4_CY_152;GBF_T10_CY_195;GA_2.2_51_92;IPBES_GA2.2_sup_64;IPBES_GA3_sup_54,GBF;IPBES,1,biodiversity,State of biodiversity,Ecosystem services,Nature contribution
,red list of ecosystems,GBF_GA_H_1;GBF_T1_H_13;GBF_T3_C_21;GBF_T2_CY_128;GBF_T3_CY_145;GBF_T7_CY_177;GEO_14_16_157,GBF;GEO,1,ecosystems,State of ecosystems,NA,NA
,redistributive impact of fiscal policy,SDG_G10.4.2_133,SDG,1,Human assets,Income,Governance,Legislation/governance
,reduced concentration of pollutants in water,GA_2.3_42_143,IPBES,0,Direct drivers,Pollution,NA,NA
,reduced concentrations of greenhouse gases in the atmosphere,GA_2.3_42_143,IPBES,0,Direct drivers,Pollution,NA,NA
,reduced concentrations of pm2.5,GA_2.3_42_143,IPBES,0,Direct drivers,Pollution,NA,NA
,reduced cost of road construction,VA_2_76_48,IPBES,0,Human assets,Infrastructure (build-up area),NA,NA
,reduced cost of road maintenance,VA_2_76_48,IPBES,0,Human assets,Infrastructure (build-up area),NA,NA
,reduced food spoilage,GA_2.3_42_143,IPBES,0,Ecosystem services,Nature contribution,NA,NA
,reduced hunger,GA_2.3_42_143,IPBES,0,Human well-being,Healthy living conditions,NA,NA
,reduced incidence and severity of hazards,GA_2.3_42_143,IPBES,0,Human well-being,Healthy living conditions,NA,NA
,reduced incidence of infectious diseases,GA_2.3_42_143,IPBES,0,Direct drivers,(Infectious) diseases,NA,NA
,reduced incidence of water borne disease,GA_2.3_42_143,IPBES,0,Direct drivers,(Infectious) diseases,NA,NA
,reduced malnutrition,GA_2.3_42_143,IPBES,0,Human well-being,Healthy living conditions,NA,NA
,reduced morbidity and premature mortality due to natural hazards,GA_2.3_42_143,IPBES,0,Human well-being,Healthy living conditions,NA,NA
,reduced net farm income loss from pests and diseases,GA_2.3_42_143,IPBES,0,Human assets,Income,NA,NA
,reduced ocean acidification,GA_2.3_42_143,IPBES,0,Direct drivers,Pollution,NA,NA
,reduced property loss due to natural hazards,GA_2.3_42_143,IPBES,0,Human well-being,Healthy living conditions,NA,NA
,reduced risk of disease transmission,GA_2.3_42_143,IPBES,0,Direct drivers,(Infectious) diseases,NA,NA
,reduction in climate related costs,GA_2.3_42_143,IPBES,0,Governance,Legislation/governance,NA,NA
,reduction in post-volcanic eruption extreme precipitation,IPCC_11_50_537,IPCC,0,ecosystems,Abiotic conditions,NA,NA
remove,reduction of inequality within and among countries,GEO_17_8_199,GEO,0,Human well-being,Equity,NA,NA
,reef growth,IPCC_2_67_109,IPCC,0,ecosystems,State of ecosystems (marine),ecosystems,Change in ecosystems
,refugee population,IPBES_GA2.1_sup_25,IPBES,0,Knowledge systems,Information on society and socio-economics,NA,NA
,regional deficit index,IPCC_12_72_695,IPCC,0,Human assets,State of economy,NA,NA
,regional seas and action plans,GEO_14_15_152,GEO,0,Governance,Nature-based legislation,NA,NA
,relative magnitude of fragmentation (rmf),GBF_GA_CY_28,GBF,1,ecosystems,State of ecosystems (integrity),NA,NA
,relevant research funding,GA_3_49_379,IPBES,0,Knowledge systems,Information on society and socio-economics,,
,remaining primary vegetation,GA_2.2_37_70;IPBES_GA2.2_sup_19,IPBES,0,ecosystems,State of ecosystems (coverage),NA,NA
,remaining primary vegetation (hotspots),IPBES_GA2.2_sup_20,IPBES,0,ecosystems,State of ecosystems (coverage),NA,NA
,remaining primary vegetation (indigenous lands),GA_2.2_37_70;IPBES_GA2.2_sup_21,IPBES,0,ecosystems,State of ecosystems (coverage),Knowledge systems,ILK
,remittance costs as a proportion of the amount remitted,SDG_G10.c.1_142,SDG,1,Human assets,Income,NA,State of economy
,remnant ecosystems degrade,GA_2.2_5_55,IPBES,0,Direct drivers,Land conversion,NA,NA
,renewable electricity consumption (percentage of total electricity output),IPBES_GA2.1_sup_13,IPBES,0,Human assets,Infrastructure (build-up area),NA,NA
,renewable energy share in the total final energy consumption,SDG_G7.2.1_96;IPBES_SUA_sup_7.2.1_40,SDG;IPBES,1,Human assets,Infrastructure (build-up area),Ecosystem services,Nature contribution
,renewable internal freshwater resource,IPBES_GA2.1_sup_57,IPBES,0,Human assets,Infrastructure (build-up area),NA,Coverage of basic needs
,reproduction rate,GA_4_34_176,IPBES,0,biodiversity,State of biodiversity,NA,NA
,reproductive success,SUA_4_78_130;SUA_4_89_132,IPBES,0,biodiversity,State of biodiversity,NA,NA
,research and development expenditure as a proportion of gross domestic product,SDG_G9.5.1_124;IPBES_SUA_sup_9.5.1_66,SDG;IPBES,1,Knowledge systems,Information on society and socio-economics,NA,NA
,researchers (in full-time equivalent) per million inhabitants,SDG_G9.5.2_125,SDG,1,Knowledge systems,Information on society and socio-economics,NA,NA
,resilience of forest-dependent communities,SUA_2_92_69,IPBES,0,Knowledge systems,Specific information on human-nature relationship,Ecosystem services,Specific mention of sustainable use of species/ecosystems
,"resources mobilized from innovative sources of finance, including from the private sector",UNCCD_SO5.4_13,UNCCD,1,Governance,Nature-based funding,NA,NA
,resources per capita invested in human settlement per km2,GEO_15_21_173,GEO,0,Human assets,Infrastructure (build-up area),NA,NA
,resourcing of invasive alien species prevention and control activities,IAS_6_14_142,IPBES,0,Direct drivers,Invasive alien species,Governance,Legislation/governance
,retention and prevented emissions of air pollutants by ecosystems,GA_2.3_42_143,IPBES,0,Ecosystem services,Nature contribution,NA,NA
remove,retention over time of indigenous ecological knowledge and practices,GA_2_25_33,IPBES,0,Knowledge systems,ILK,NA,NA
,retreat of ice sheet,IPCC_9_59_445,IPCC,0,ecosystems,Change in ecosystems,NA,NA
,revenue from bioenergy production,GA_2.3_42_143,IPBES,0,Human assets,State of economy,Ecosystem services,Nature contribution
,revenue from forestry,GA_2.3_42_143,IPBES,0,Ecosystem services,Specific monetary valuation of nature contribution,NA,NA
,revenue generated and finance mobilized from biodiversity relevant economic instruments,SDG_G15.a.1.b_208;SDG_G15.b.1.b_210;IPBES_SUA_sup_15.a.1.b_134;IPBES_SUA_sup_15.b.1.b_136,SDG;IPBES,1,Governance,Nature-based funding,NA,NA
,river fragmentation index,GBF_GA_CY_33,GBF,1,ecosystems,State of ecosystems (integrity),NA,State of ecosystems (freshwater/coastal)
,road construction,GEO_6_8_49,GEO,0,Human assets,Infrastructure (build-up area),NA,NA
,rooting depth,IPCC_12_17_599,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,rule of law index,GA_5_104_261,IPBES,0,Governance,Legislation/governance,NA,NA
,runoff,IPCC_2_26_47,IPCC,0,Direct drivers,Pollution,NA,NA
,safe level of annual average pm exposure,GEO_5_19_45,GEO,0,Direct drivers,Pollution,NA,NA
,salinity,IPCC_1_70_30;IPCC_2_26_47,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,sanitation and hygiene,GEO_20_7_232,GEO,0,Human well-being,Healthy living conditions,NA,NA
,satellite formaldehyde (hcho) observations,IPCC_6_26_304,IPCC,0,Direct drivers,Climate change,NA,NA
,satellite observations of precipitation,IPCC_2_51_79,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,sea ice extent,IPCC_1_70_30;IPCC_2_26_47,IPCC,0,ecosystems,State of ecosystems,NA,NA
,sea ice thermodynamic,IPCC_3_45_183,IPCC,0,ecosystems,State of ecosystems,NA,NA
,sea level,IPCC_2_26_47;GEO_2_26_7,IPCC;GEO,0,ecosystems,State of ecosystems,NA,NA
,sea level change,IPCC_1_13_4,IPCC,0,ecosystems,Change in ecosystems,NA,NA
,sea level pressure and winds,IPCC_2_26_47,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,sea level rise,GEO_4_13_34,GEO,0,Direct drivers,Climate change,ecosystems,State of ecosystems (marine)
,seafood availability due to ocean acidification,GA_2.3_42_143,IPBES,0,Ecosystem services,Nature contribution,Direct drivers,Pollution
,seafood produced (kcal),GA_2.3_42_143,IPBES,0,Ecosystem services,Nature contribution,NA,NA
,seagrass meadow area,GA_2.2_37_70;GA_2.2_38_74;IPBES_GA2.2_sup_22,IPBES,0,ecosystems,State of ecosystems (freshwater/coastal),NA,NA
,seasonal cycle of co2,IPCC_2_26_47,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,seasonal variations in atmospheric co2 concentrations,IPCC_2_74_116,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,seasonality and thickness,IPCC_2_26_47,IPCC,0,ecosystems,State of ecosystems,NA,NA
,sectoral emissions density,IPCC_6_63_319,IPCC,0,Direct drivers,Climate change,NA,NA
,sediment cores,IPCC_2_63_105;IPCC_2_70_112,IPCC,0,ecosystems,State of ecosystems,NA,NA
,sedimentary records,IPCC_10_56_492,IPCC,0,ecosystems,Abiotic conditions,,
,september sea ice extent,IPCC_1_50_21,IPCC,0,ecosystems,State of ecosystems,NA,NA
,services provided by ecosystems,GBF_GB_H_5;GBF_T11_H_32,GBF,1,Ecosystem services,Nature contribution,NA,NA
,severe global bleaching events,GA_2.2_91_124,IPBES,0,ecosystems,Change in ecosystems,Direct drivers,Climate change
,sex-disaggregated burden-of-disease data,GEO_3_10_20,GEO,0,Human well-being,Healthy living conditions,NA,NA
,sh monsoons,IPCC_2_51_80,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,share of low-carbon options,GEO_22_12_256,GEO,0,Knowledge systems,Specific information on human-nature relationship,NA,NA
,share of main groups of species in fish trade in terms of value,SUA_2_90_65,IPBES,0,Ecosystem services,Specific monetary valuation of nature contribution,NA,NA
,"share of women among owners or rights-bearers of agricultural land, by type of tenure",GBF_T22_CY_258;GBF_T23_CY_266;SDG_G5.a.1.b_79;IPBES_SUA_sup_5.a.1.b_27,GBF;SDG;IPBES,1,Human well-being,Equity,NA,NA
,sharing and trading institutions,SUA_2_95_77,IPBES,0,Knowledge systems,ILK,NA,NA
,ship calls,IAS_2_5_11,IPBES,0,Human assets,Infrastructure (build-up area),NA,NA
,shoreline change (indicator of coastal erosion),IPCC_12_60_671,IPCC,0,ecosystems,State of ecosystems (freshwater/coastal),NA,NA
,shoreline retreat by mid- and end of century,IPCC_sup_53,IPCC,0,ecosystems,State of ecosystems (freshwater/coastal),Direct drivers,Climate change
,shrinking of the arctic ice cover,GEO_2_26_7,GEO,0,ecosystems,State of ecosystems,NA,NA
,simple daily intensity index (sdii),IPCC_11_50_537,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,simple precipitation intensity index,IPCC_sup_31,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,simulated global mean surface air temperature (gsat),IPCC_1_45_19,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,simulated global mean surface air temperature (gsat) anomalies,IPCC_1_45_19,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,sink rate,IPCC_5_19_272,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,slope instability,IPCC_2_63_102,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,smoking,GEO_21_17_251,GEO,0,Human well-being,Healthy living conditions,NA,NA
